Plant Code,NAME,TYPE,COAL_USED,NGAS_USED,OIL_USED,ADDRESS,CITY,STATE,ZIP,COUNTRY,lat,long,TYPE_Clear,TYPE_Clear_2,group
58846,"WASHINGTON MILLFIELD SOLAR, LLC",SOLAR PHOTOVOLTAIC,0,0,0,40 MILLFIELD ROAD,BATH,NC,27808,USA,35.49881653,-76.84434908,SOLAR,SOLAR,SOLAR
58847,"WINDSOR COOPER HIILL SOLAR, LLC",SOLAR PHOTOVOLTAIC,0,0,0,159-D COOPER HILL ROAD,WINDSOR,NC,27983,USA,35.96716198,-76.91245397,SOLAR,SOLAR,SOLAR
58848,WARSAW FARM,SOLAR PHOTOVOLTAIC,0,0,0,755 PENNY BRANCH RD,WARSAW,NC,28398,USA,35.00553696,-78.12667057,SOLAR,SOLAR,SOLAR
58849,CASTALIA SOLAR,SOLAR PHOTOVOLTAIC,0,0,0,10677 N CAROLINA 58,CASTALIA,NC,27816,USA,36,-77.783333,SOLAR,SOLAR,SOLAR
58851,OAKBORO FARM,SOLAR PHOTOVOLTAIC,0,0,0,17008 SPRINGS MILL RD,LAURINBURG,NC,28352,USA,34.79655791,-79.54067687,SOLAR,SOLAR,SOLAR
58853,MCKENZIE FARM,SOLAR PHOTOVOLTAIC,0,0,0,522 FITTER HILL RD,WHITEVILLE,NC,28427,USA,34.32357018,-78.69190013,SOLAR,SOLAR,SOLAR
58854,NASH 58 FARM,SOLAR PHOTOVOLTAIC,0,0,0,6657 NORTH NC 58,NASHVILLE,NC,27856,USA,36.04757382,-78.03060093,SOLAR,SOLAR,SOLAR
58855,NASH 64 FARM,SOLAR PHOTOVOLTAIC,0,0,0,ROCKWOOL ST,SPRING HOPE,NC,27882,USA,35.9481837,-78.09366463,SOLAR,SOLAR,SOLAR
58856,PATE FARM,SOLAR PHOTOVOLTAIC,0,0,0,40 MILK DAIRY RD,RED SPRINGS,NC,28377,USA,34.81759192,-79.20051356,SOLAR,SOLAR,SOLAR
58859,ERWIN FARM,SOLAR PHOTOVOLTAIC,0,0,0,311 ERWIN ACCESS RD,ERWIN,NC,28339,USA,35.33468253,-78.65990588,SOLAR,SOLAR,SOLAR
58861,SIGMON CATAWBA FARM,SOLAR PHOTOVOLTAIC,0,0,0,2685 SIGMON DAIRY RD,NEWTON,NC,28658,USA,35.61107435,-81.24497716,SOLAR,SOLAR,SOLAR
58862,WAGSTAFF FARM 1,SOLAR PHOTOVOLTAIC,0,0,0,945 WOODSDALE RD,ROXBORO,NC,27574,USA,36.45855949,-78.95625531,SOLAR,SOLAR,SOLAR
58863,WACO FARM,SOLAR PHOTOVOLTAIC,0,0,0,399 DEVENNY STREET,WACO,NC,28169,USA,35.35154843,-81.425688,SOLAR,SOLAR,SOLAR
58864,SUNFISH FARM,SOLAR PHOTOVOLTAIC,0,0,0,8300 KENNEBEC RD,WILLOW SPRING,NC,27592,USA,35.55784717,-78.73412171,SOLAR,SOLAR,SOLAR
58865,REVENTURE PARK,LANDFILL GAS,0,0,0,11701 MT. HOLLY RD,CHARLOTTE,NC,28214,USA,35.294444,-80.998889,GAS,GAS,FOSSIL
58866,GARRELL SOLAR FARM,SOLAR PHOTOVOLTAIC,0,0,0,2681 GEORGIA PACIFIC RD,CHADBOURN,NC,28341,USA,34.324744,-78.793099,SOLAR,SOLAR,SOLAR
58867,ANGIER FARM,SOLAR PHOTOVOLTAIC,0,0,0,601 RAWLS CHURCH RD,ANGIER,NC,27501,USA,35.516389,-78.75,SOLAR,SOLAR,SOLAR
